,0
639,stable
640,transit
641,transit
642,transit
643,transit
644,transit
645,transit
646,transit
647,transit
648,transit
649,transit
650,transit
651,transit
652,transit
653,transit
654,transit
655,transit
656,transit
657,transit
658,transit
659,transit
660,transit
661,transit
662,transit
663,stable
664,transit
665,transit
666,transit
667,transit
668,transit
669,transit
670,transit
671,transit
672,transit
673,transit
674,transit
675,stable
676,transit
677,transit
678,transit
679,transit
680,transit
681,transit
682,transit
683,transit
684,transit
685,transit
686,transit
687,transit
688,transit
689,transit
690,stable
691,transit
692,transit
693,transit
694,transit
695,transit
696,transit
697,transit
698,transit
699,transit
700,transit
701,transit
702,transit
703,transit
704,transit
705,transit
706,transit
707,stable
708,transit
709,transit
710,transit
711,transit
712,transit
713,stable
714,transit
715,stable
716,transit
717,transit
718,transit
719,transit
720,transit
721,transit
722,transit
723,transit
724,transit
725,transit
726,transit
727,transit
728,transit
729,transit
730,transit
731,transit
732,transit
733,transit
734,transit
735,transit
736,transit
737,transit
738,transit
739,transit
740,transit
741,transit
742,transit
743,transit
744,transit
745,transit
746,transit
747,transit
748,transit
749,transit
750,transit
751,transit
752,transit
753,transit
754,stable
755,transit
756,transit
757,transit
758,transit
759,transit
760,transit
761,transit
762,transit
763,transit
764,transit
765,transit
766,transit
767,transit
768,transit
769,transit
770,transit
771,transit
772,transit
773,transit
774,stable
775,transit
776,transit
777,transit
778,transit
779,transit
780,transit
781,transit
782,transit
783,transit
784,transit
785,transit
786,transit
787,transit
788,transit
789,transit
790,transit
791,transit
792,transit
793,transit
794,stable
795,transit
796,transit
797,transit
798,transit
799,transit
800,transit
801,transit
802,transit
803,transit
804,transit
805,transit
806,transit
807,transit
808,transit
809,transit
810,transit
811,transit
812,transit
813,transit
814,transit
815,transit
816,transit
817,transit
818,transit
819,stable
820,transit
821,transit
822,transit
823,transit
824,transit
825,transit
826,transit
827,transit
828,transit
829,transit
830,transit
831,transit
832,transit
833,transit
834,transit
835,transit
836,transit
837,transit
838,transit
839,transit
840,transit
841,transit
842,transit
843,transit
844,transit
845,stable
846,transit
847,transit
848,transit
849,transit
850,transit
851,transit
852,transit
853,transit
854,transit
855,transit
856,transit
857,transit
858,transit
859,transit
860,transit
861,transit
862,transit
863,transit
864,transit
865,transit
866,stable
867,transit
868,transit
869,transit
870,transit
871,stable
872,transit
873,transit
874,transit
875,transit
876,transit
877,transit
878,transit
879,transit
880,transit
881,transit
882,transit
883,transit
884,transit
885,transit
886,transit
887,transit
888,transit
889,transit
890,transit
891,transit
892,transit
893,transit
894,transit
895,transit
896,stable
897,transit
898,transit
899,transit
900,transit
901,transit
902,transit
903,transit
904,transit
905,transit
906,transit
907,stable
908,transit
909,stable
910,transit
911,transit
912,transit
913,transit
914,transit
915,transit
916,transit
917,transit
918,transit
919,transit
920,transit
921,transit
922,transit
923,stable
924,transit
925,transit
926,transit
927,transit
928,transit
929,transit
930,transit
931,transit
932,transit
933,transit
934,transit
935,transit
936,transit
937,transit
938,transit
939,transit
940,transit
941,transit
942,transit
943,transit
944,transit
945,transit
946,transit
947,transit
948,transit
949,transit
950,transit
951,transit
952,transit
953,transit
954,transit
955,transit
956,transit
957,transit
958,stable
959,transit
960,transit
961,transit
962,transit
963,transit
964,transit
965,transit
966,transit
967,transit
968,transit
969,transit
970,transit
971,transit
972,transit
973,transit
974,transit
